NAME,GEO_ID,pop_est,pop_est_me,state,year
Ohio,0400000US39,11525536,-555555555,39,2011
Oklahoma,0400000US40,3714520,-555555555,40,2011
Oregon,0400000US41,3801991,-555555555,41,2011
Pennsylvania,0400000US42,12660739,-555555555,42,2011
Rhode Island,0400000US44,1053959,-555555555,44,2011
South Carolina,0400000US45,4575864,-555555555,45,2011
South Dakota,0400000US46,807697,-555555555,46,2011
Tennessee,0400000US47,6297991,-555555555,47,2011
Texas,0400000US48,24774187,-555555555,48,2011
Vermont,0400000US50,624958,-555555555,50,2011
Utah,0400000US49,2715379,-555555555,49,2011
Virginia,0400000US51,7926192,-555555555,51,2011
Washington,0400000US53,6652845,-555555555,53,2011
West Virginia,0400000US54,1846372,-555555555,54,2011
Wisconsin,0400000US55,5664893,-555555555,55,2011
Wyoming,0400000US56,554697,-555555555,56,2011
Puerto Rico,0400000US72,3742586,-555555555,72,2011
Alabama,0400000US01,4747424,-555555555,01,2011
Alaska,0400000US02,700703,-555555555,02,2011
Arizona,0400000US04,6337373,-555555555,04,2011
Arkansas,0400000US05,2895928,-555555555,05,2011
California,0400000US06,36969200,-555555555,06,2011
Colorado,0400000US08,4966061,-555555555,08,2011
Delaware,0400000US10,890856,-555555555,10,2011
District of Columbia,0400000US11,593955,-555555555,11,2011
Connecticut,0400000US09,3558172,-555555555,09,2011
Florida,0400000US12,18688787,-555555555,12,2011
Georgia,0400000US13,9600612,-555555555,13,2011
Idaho,0400000US16,1549987,-555555555,16,2011
Hawaii,0400000US15,1346554,-555555555,15,2011
Illinois,0400000US17,12790182,-555555555,17,2011
Indiana,0400000US18,6454254,-555555555,18,2011
Iowa,0400000US19,3032266,-555555555,19,2011
Kansas,0400000US20,2830985,-555555555,20,2011
Kentucky,0400000US21,4316040,-555555555,21,2011
Louisiana,0400000US22,4484596,-555555555,22,2011
Maine,0400000US23,1328543,-555555555,23,2011
Maryland,0400000US24,5736545,-555555555,24,2011
Massachusetts,0400000US25,6512227,-555555555,25,2011
Michigan,0400000US26,9920621,-555555555,26,2011
Minnesota,0400000US27,5278190,-555555555,27,2011
Alabama,0400000US01,4777326,-555555555,01,2012
Alaska,0400000US02,711139,-555555555,02,2012
Arizona,0400000US04,6410979,-555555555,04,2012
Arkansas,0400000US05,2916372,-555555555,05,2012
California,0400000US06,37325068,-555555555,06,2012
Colorado,0400000US08,5042853,-555555555,08,2012
Delaware,0400000US10,900131,-555555555,10,2012
District of Columbia,0400000US11,605759,-555555555,11,2012
Connecticut,0400000US09,3572213,-555555555,09,2012
Florida,0400000US12,18885152,-555555555,12,2012
Georgia,0400000US13,9714569,-555555555,13,2012
Idaho,0400000US16,1567803,-555555555,16,2012
Hawaii,0400000US15,1362730,-555555555,15,2012
Illinois,0400000US17,12823860,-555555555,17,2012
Indiana,0400000US18,6485530,-555555555,18,2012
Iowa,0400000US19,3047646,-555555555,19,2012
Kansas,0400000US20,2851183,-555555555,20,2012
Kentucky,0400000US21,4340167,-555555555,21,2012
Louisiana,0400000US22,4529605,-555555555,22,2012
Maine,0400000US23,1329084,-555555555,23,2012
Maryland,0400000US24,5785496,-555555555,24,2012
Massachusetts,0400000US25,6560595,-555555555,25,2012
Michigan,0400000US26,9897264,-555555555,26,2012
Minnesota,0400000US27,5313081,-555555555,27,2012
Mississippi,0400000US28,2967620,-555555555,28,2012
Missouri,0400000US29,5982413,-555555555,29,2012
Montana,0400000US30,990785,-555555555,30,2012
Nebraska,0400000US31,1827306,-555555555,31,2012
Nevada,0400000US32,2704204,-555555555,32,2012
New Hampshire,0400000US33,1317474,-555555555,33,2012
New Jersey,0400000US34,8793888,-555555555,34,2012
New Mexico,0400000US35,2055287,-555555555,35,2012
New York,0400000US36,19398125,-555555555,36,2012
North Carolina,0400000US37,9544249,-555555555,37,2012
North Dakota,0400000US38,676253,-555555555,38,2012
Ohio,0400000US39,11533561,-555555555,39,2012
Oklahoma,0400000US40,3749005,-555555555,40,2012
Oregon,0400000US41,3836628,-555555555,41,2012
Pennsylvania,0400000US42,12699589,-555555555,42,2012
Rhode Island,0400000US44,1052471,-555555555,44,2012
South Carolina,0400000US45,4630351,-555555555,45,2012
South Dakota,0400000US46,815871,-555555555,46,2012
Tennessee,0400000US47,6353226,-555555555,47,2012
Texas,0400000US48,25208897,-555555555,48,2012
Vermont,0400000US50,625498,-555555555,50,2012
Utah,0400000US49,2766233,-555555555,49,2012
Virginia,0400000US51,8014955,-555555555,51,2012
Washington,0400000US53,6738714,-555555555,53,2012
West Virginia,0400000US54,1850481,-555555555,54,2012
Wisconsin,0400000US55,5687219,-555555555,55,2012
Wyoming,0400000US56,562803,-555555555,56,2012
Puerto Rico,0400000US72,3716727,-555555555,72,2012
