,NAME,GEO_ID,pop_est_ov16,pop_est_ov16_me,employed,employed_me,unemployed,unemployed_me,armed_forces,armed_forces_me,non_labor_force,non_labor_force_me,state,year
13,Oklahoma,0400000US40,2977835,1028,1699610,4560,124804,2360,18726,709,1134695,4014,40,2014
14,Oregon,0400000US41,3139152,1339,1752414,6068,206222,3659,2739,344,1177777,4862,41,2014
15,Pennsylvania,0400000US42,10351296,2100,5946480,11309,556468,5695,5454,485,3842894,10748,42,2014
16,Rhode Island,0400000US44,862851,644,511362,2934,53761,1898,3316,344,294412,3080,44,2014
17,South Carolina,0400000US45,3768421,1488,2031997,6759,242145,3934,32242,1309,1462037,6446,45,2014
18,South Dakota,0400000US46,651429,594,425816,2105,21364,1019,2951,349,201298,1732,46,2014
19,Tennessee,0400000US47,5125250,2021,2835895,7426,296819,4088,16363,960,1976173,7053,47,2014
20,Texas,0400000US48,19858082,3235,11809010,17963,982580,8970,97573,2138,6968919,17800,48,2014
21,Vermont,0400000US50,517411,474,325336,1664,21643,787,507,111,169925,1542,50,2014
22,Utah,0400000US49,2057591,1076,1299818,4049,95738,2590,4396,438,657639,4073,49,2014
23,Virginia,0400000US51,6531424,1968,3936638,8695,293310,4396,108658,2006,2192818,8440,51,2014
24,Washington,0400000US53,5488038,1507,3194382,7491,308955,4604,48533,1507,1936168,7377,53,2014
25,West Virginia,0400000US54,1513749,806,753227,3878,67035,1872,1127,249,692360,3876,54,2014
26,Wisconsin,0400000US55,4561244,1325,2852018,6289,221662,2925,2631,294,1484933,6191,55,2014
27,Wyoming,0400000US56,453096,617,291552,1933,15950,1057,2516,259,143078,1920,56,2014
28,Puerto Rico,0400000US72,2911026,1359,1081146,4606,242808,3418,1372,225,1585700,5848,72,2014
29,Alabama,0400000US01,3828799,1578,2010453,6237,228716,3643,13836,906,1575794,6674,01,2014
30,Alaska,0400000US02,560680,516,347983,2383,32097,1177,16776,739,163824,2175,02,2014
31,Arizona,0400000US04,5121781,1846,2754982,7698,304067,4552,17485,790,2045247,6604,04,2014
32,Arkansas,0400000US05,2315782,1210,1251717,4831,115090,2100,5270,625,943705,5200,05,2014
33,California,0400000US06,29934838,3523,16890442,21563,2084564,11640,133870,2300,10825962,19572,06,2014
34,Colorado,0400000US08,4094922,1353,2560703,6828,219241,3549,31757,1061,1283221,6360,08,2014
35,Delaware,0400000US10,734886,627,426103,2480,39819,1517,3149,390,265815,2479,10,2014
36,District of Columbia,0400000US11,536771,318,325838,2201,38496,1417,3176,221,169261,2179,11,2014
37,Connecticut,0400000US09,2895925,1238,1766934,5661,186587,2986,8598,457,933806,5119,09,2014
38,Florida,0400000US12,15817611,3510,8335023,17240,1024905,10355,55160,1867,6402523,15303,12,2014
39,Georgia,0400000US13,7693577,2635,4300074,10441,519291,5341,49477,1504,2824735,9206,13,2014
40,Idaho,0400000US16,1216172,929,703410,3319,61837,1967,3029,404,447896,3067,16,2014
41,Hawaii,0400000US15,1118419,763,645571,3140,46285,1453,39544,1179,387019,2815,15,2014
42,Illinois,0400000US17,10170489,2343,6032031,11023,669561,6281,17265,1209,3451632,8888,17,2014
43,Indiana,0400000US18,5131317,2045,2994736,9200,290469,4307,3157,374,1842955,7930,18,2014
44,Iowa,0400000US19,2434242,975,1562492,4461,89414,1879,1808,317,780528,3972,19,2014
45,Kansas,0400000US20,2236421,1122,1391836,4052,97951,2425,17216,805,729418,3732,20,2014
46,Kentucky,0400000US21,3476701,1261,1870879,5618,192877,3194,15502,722,1397443,5099,21,2014
47,Louisiana,0400000US22,3610029,1607,2002410,6653,189644,2840,14874,744,1403101,6298,22,2014
48,Maine,0400000US23,1095219,666,646438,2914,51931,1543,1773,273,395077,2623,23,2014
49,Maryland,0400000US24,4695768,1501,2949440,7115,257918,3442,26322,1125,1462088,6961,24,2014
50,Massachusetts,0400000US25,5427407,1764,3354036,7907,309050,4428,4526,458,1759795,7242,25,2014
51,Michigan,0400000US26,7893971,2211,4293574,9941,554747,5539,3787,322,3041863,8910,26,2014
52,Minnesota,0400000US27,4247699,1131,2781933,5549,192010,2529,2071,220,1271685,5187,27,2014
1,Mississippi,0400000US28,2333154,1449,1203914,5777,138445,3244,10634,726,980161,5598,28,2015
2,Missouri,0400000US29,4803676,1761,2807996,5535,226528,3019,19414,700,1749738,5069,29,2015
3,Montana,0400000US30,814661,698,485446,2893,32361,1284,3523,430,293331,2702,30,2015
4,Nebraska,0400000US31,1454157,731,968134,3220,47602,1166,4683,374,433738,2996,31,2015
5,Nevada,0400000US32,2210559,1028,1267312,5125,148467,2731,8817,615,785963,5249,32,2015
6,New Hampshire,0400000US33,1087512,683,698810,3176,42733,1495,1331,217,344638,2622,33,2015
7,New Jersey,0400000US34,7120154,1598,4281760,8024,413343,4305,7405,552,2417646,8147,34,2015
8,New Mexico,0400000US35,1633310,973,876035,4065,88924,2279,8932,643,659419,4116,35,2015
9,New York,0400000US36,15921937,2722,9254578,14601,829141,7210,23559,880,5814659,13778,36,2015
10,North Carolina,0400000US37,7812594,2128,4372773,11414,453420,6080,82915,1801,2903486,10312,37,2015
11,North Dakota,0400000US38,575611,547,387716,1820,11464,663,5640,475,170791,1738,38,2015
12,Ohio,0400000US39,9229397,1987,5366673,9749,477251,4652,8300,461,3377173,8798,39,2015
13,Oklahoma,0400000US40,3003180,1017,1719541,4407,115978,1952,18542,673,1149119,4048,40,2015
14,Oregon,0400000US41,3177669,1384,1789807,6425,184016,3981,2491,372,1201355,5151,41,2015
15,Pennsylvania,0400000US42,10384811,2020,6001889,11007,514993,4877,4877,392,3863052,10024,42,2015
16,Rhode Island,0400000US44,865174,614,518170,3085,48418,1582,3035,322,295551,2864,44,2015
17,South Carolina,0400000US45,3816548,1471,2075274,7519,217977,3486,30655,1082,1492642,7348,45,2015
18,South Dakota,0400000US46,657804,510,430853,1972,20220,844,2917,315,203814,1819,46,2015
19,Tennessee,0400000US47,5174955,1676,2888742,7662,266297,3774,17480,835,2002436,6960,47,2015
20,Texas,0400000US48,20241168,4295,12094262,15903,912068,8209,95458,2200,7139380,15112,48,2015
21,Vermont,0400000US50,519139,409,326732,1906,18957,906,473,132,172977,1865,50,2015
22,Utah,0400000US49,2096916,1127,1337646,4011,81870,1983,4184,490,673216,3508,49,2015
23,Virginia,0400000US51,6598956,2131,3990770,9377,276030,4649,109986,2113,2222170,7874,51,2015
24,Washington,0400000US53,5568640,1716,3259877,8378,277806,4003,48578,1352,1982379,7586,53,2015
25,West Virginia,0400000US54,1512183,1026,751252,4164,63341,1837,812,195,696778,3990,54,2015
26,Wisconsin,0400000US55,4583931,1252,2883390,6149,193763,2783,2504,315,1504274,5479,55,2015
27,Wyoming,0400000US56,456640,600,293949,1832,15002,826,2420,332,145269,1698,56,2015
28,Puerto Rico,0400000US72,2884153,1265,1063350,5546,235772,3935,1266,270,1583765,4969,72,2015
29,Alabama,0400000US01,3846845,1679,2022325,6345,207097,3167,12979,816,1604444,6881,01,2015
30,Alaska,0400000US02,565212,516,351108,2476,31285,1163,16684,707,166135,2160,02,2015
31,Arizona,0400000US04,5207123,1676,2813406,7893,275712,3860,17206,938,2100799,8647,04,2015
32,Arkansas,0400000US05,2328384,1298,1256081,5363,104943,2439,4767,521,962593,5368,05,2015
33,California,0400000US06,30312429,3888,17246360,16422,1891081,9738,132008,2424,11042980,16892,06,2015
34,Colorado,0400000US08,4168824,1477,2624436,6429,195578,3191,32425,1108,1316385,5594,08,2015
35,Delaware,0400000US10,744949,682,433816,2431,36223,1425,2968,344,271942,2400,10,2015
36,District of Columbia,0400000US11,546805,338,337815,2160,35811,1360,3446,283,169733,2054,11,2015
37,Connecticut,0400000US09,2906229,1192,1781417,5291,172292,2718,8461,458,944059,5060,09,2015
38,Florida,0400000US12,16077778,3448,8541291,17071,915976,6814,53414,1839,6567097,17026,12,2015
39,Georgia,0400000US13,7792052,2420,4388274,10737,468932,6051,49052,1715,2885794,10867,13,2015
40,Idaho,0400000US16,1232564,1008,715861,3976,55312,1628,3353,454,458038,3905,16,2015
41,Hawaii,0400000US15,1130491,829,653284,3708,42288,1537,41367,1046,393552,3103,15,2015
42,Illinois,0400000US17,10201787,2599,6086226,11241,608516,5896,17420,765,3489625,10294,17,2015
43,Indiana,0400000US18,5160786,1831,3038762,7192,258739,4350,3030,473,1860255,6208,18,2015
44,Iowa,0400000US19,2447401,1027,1573510,4291,81735,1961,1723,281,790433,3645,19,2015
45,Kansas,0400000US20,2247842,1271,1401197,4335,88454,1906,17429,849,740762,3890,20,2015
46,Kentucky,0400000US21,3493098,1623,1891381,6734,174308,2703,14748,574,1412661,6214,21,2015
47,Louisiana,0400000US22,3634163,1380,2016049,6304,178150,3612,14670,810,1425294,6366,22,2015
48,Maine,0400000US23,1098075,647,648687,2995,47497,1770,1729,297,400162,2762,23,2015
49,Maryland,0400000US24,4737405,1416,2976504,5512,238027,3541,26691,1155,1496183,5999,24,2015
50,Massachusetts,0400000US25,5479502,1434,3415975,8786,280164,4046,4562,488,1778801,7950,25,2015
51,Michigan,0400000US26,7925988,1823,4373518,9697,477746,4500,3741,377,3070983,7824,26,2015
52,Minnesota,0400000US27,4281141,1438,2827195,4904,167764,2904,2026,273,1284156,4375,27,2015
1,Mississippi,0400000US28,2338750,1333,1212650,5665,128840,2473,10307,678,986953,5802,28,2016
2,Missouri,0400000US29,4823223,1778,2835183,7328,200143,3203,19699,748,1768198,7114,29,2016
3,Montana,0400000US30,822530,631,490742,2419,29382,1175,3475,330,298931,2227,30,2016
4,Nebraska,0400000US31,1463872,938,977353,2744,42544,1479,4840,402,439135,2622,31,2016
5,Nevada,0400000US32,2248477,1142,1302162,5346,133525,2592,7934,680,804856,4516,32,2016
6,New Hampshire,0400000US33,1094783,662,706801,3421,37727,1335,1675,249,348580,2962,33,2016
7,New Jersey,0400000US34,7143654,1926,4322619,8295,368870,5149,8124,580,2444041,8344,34,2016
8,New Mexico,0400000US35,1637594,1031,876210,3763,81175,2452,8992,653,671217,3819,35,2016
9,New York,0400000US36,15964950,2760,9340878,16014,759224,6962,22976,937,5841872,14776,36,2016
10,North Carolina,0400000US37,7907915,2235,4460824,9406,404584,5373,82857,2039,2959650,8745,37,2016
11,North Dakota,0400000US38,585370,562,395584,1821,11250,667,6097,512,172439,1473,38,2016
12,Ohio,0400000US39,9255859,1940,5425647,11813,423956,5337,8117,601,3398139,10130,39,2016
13,Oklahoma,0400000US40,3025259,962,1733000,3688,110120,2114,18115,698,1164024,3924,40,2016
14,Oregon,0400000US41,3219754,1271,1832620,6029,160797,3347,2520,328,1223817,5818,41,2016
15,Pennsylvania,0400000US42,10402780,2150,6043693,11358,468440,4969,4782,456,3885865,10596,42,2016
16,Rhode Island,0400000US44,868361,663,520482,2776,43600,1494,3203,310,301076,2914,44,2016
17,South Carolina,0400000US45,3871553,1683,2129323,7181,194454,3558,30595,1152,1517181,6572,45,2016
18,South Dakota,0400000US46,663635,515,434693,2255,18636,920,2607,300,207699,2321,46,2016
19,Tennessee,0400000US47,5222438,2062,2937131,8232,238372,3774,17933,933,2029002,7466,47,2016
20,Texas,0400000US48,20599223,3935,12371392,16258,848131,7220,92754,2086,7286946,16299,48,2016
21,Vermont,0400000US50,520197,418,327237,1707,17087,700,406,110,175467,1726,50,2016
22,Utah,0400000US49,2136930,1014,1374146,4534,73114,1914,4079,420,685591,4437,49,2016
23,Virginia,0400000US51,6653111,1976,4036456,7723,255340,3468,111328,2393,2249987,7558,51,2016
24,Washington,0400000US53,5647697,1566,3331321,7161,244692,3813,47291,1282,2024393,6902,53,2016
25,West Virginia,0400000US54,1509212,803,750412,4063,61215,1831,853,194,696732,3699,54,2016
26,Wisconsin,0400000US55,4603725,1267,2910339,5714,169426,2892,2421,286,1521539,5457,55,2016
27,Wyoming,0400000US56,459198,675,293598,2059,15118,861,2388,308,148094,1890,56,2016
28,Puerto Rico,0400000US72,2863657,1324,1055106,5907,226880,3700,1204,245,1580467,5719,72,2016
29,Alabama,0400000US01,3864302,1378,2042025,7394,184479,3250,12150,727,1625648,7869,01,2016
30,Alaska,0400000US02,568732,603,353954,2158,30139,1298,16382,803,168257,2113,02,2016
31,Arizona,0400000US04,5290839,1502,2879372,8055,249972,4373,17373,865,2144122,7479,04,2016
32,Arkansas,0400000US05,2339307,1242,1266552,6050,93190,2398,4445,432,975120,5070,05,2016
33,California,0400000US06,30565746,3893,17577142,19377,1683726,11744,130452,2163,11174426,20900,06,2016
34,Colorado,0400000US08,4245559,1423,2692529,5342,171695,2760,33135,1104,1348200,4512,08,2016
35,Delaware,0400000US10,753039,642,438292,2927,33669,1246,2860,367,278218,2774,10,2016
36,District of Columbia,0400000US11,554780,405,348225,2235,33326,1360,3505,253,169724,1986,11,2016
37,Connecticut,0400000US09,2911925,1254,1793688,5354,155005,3002,8367,492,954865,4917,09,2016
38,Florida,0400000US12,16339299,3200,8755427,17050,802016,7479,56151,1972,6725705,17654,12,2016
39,Georgia,0400000US13,7882965,2268,4489112,10286,419113,5234,48862,1403,2925878,10240,13,2016
40,Idaho,0400000US16,1251275,1073,731170,3499,48385,1726,3459,447,468261,3846,16,2016
41,Hawaii,0400000US15,1137804,720,664616,3419,38768,1465,38777,927,395643,2813,15,2016
42,Illinois,0400000US17,10206768,2178,6134121,10595,545635,5313,17244,1014,3509768,9972,17,2016
43,Indiana,0400000US18,5185793,1840,3085179,7712,228929,3888,2844,396,1868841,6857,18,2016
44,Iowa,0400000US19,2459591,1254,1587178,4377,75289,1717,1703,310,795421,3913,19,2016
45,Kansas,0400000US20,2255916,1065,1408918,4603,79000,1864,17329,758,750669,4168,20,2016
46,Kentucky,0400000US21,3511065,1703,1914189,6529,156509,2929,14735,659,1425632,5233,21,2016
47,Louisiana,0400000US22,3654913,1625,2025728,6954,168326,3564,15085,800,1445774,6770,22,2016
48,Maine,0400000US23,1101688,634,652638,3365,41620,1435,1770,287,405660,3073,23,2016
49,Maryland,0400000US24,4764901,1666,3005753,6246,216086,3171,28072,929,1514990,5808,24,2016
50,Massachusetts,0400000US25,5522235,1478,3468864,7635,252347,3487,4627,608,1796397,7020,25,2016
51,Michigan,0400000US26,7953581,1485,4449717,8816,412934,4628,3718,400,3087212,8113,26,2016
52,Minnesota,0400000US27,4311636,1291,2864441,5407,145853,2469,2228,305,1299114,4440,27,2016
1,Mississippi,0400000US28,2341439,1355,1221828,5407,117786,2553,10250,674,991575,5294,28,2017
2,Missouri,0400000US29,4844505,1670,2867393,8173,175919,3395,19345,745,1781848,7602,29,2017
3,Montana,0400000US30,828198,737,497995,2423,25076,1021,3317,311,301810,2277,30,2017
4,Nebraska,0400000US31,1474713,696,987216,2692,38881,1434,4908,463,443708,2295,31,2017
5,Nevada,0400000US32,2292486,1073,1341358,4560,116285,2294,7677,555,827166,4567,32,2017
6,New Hampshire,0400000US33,1102267,646,713424,3302,33566,1236,1789,259,353488,3134,33,2017
7,New Jersey,0400000US34,7197215,1833,4388024,8037,328167,4704,8051,561,2472973,7598,34,2017
8,New Mexico,0400000US35,1643708,1065,879201,4351,73710,1872,9212,550,681585,4298,35,2017
9,New York,0400000US36,16080981,2474,9467631,14193,685368,6662,23203,969,5904779,13677,36,2017
10,North Carolina,0400000US37,8021719,2020,4571020,9677,352287,4558,96524,1895,3001888,9648,37,2017
11,North Dakota,0400000US38,592279,522,400454,2030,11085,720,6354,470,174386,1805,38,2017
12,Ohio,0400000US39,9290812,2387,5488180,11015,378735,5496,8340,613,3415557,10415,39,2017
13,Oklahoma,0400000US40,3043261,1111,1746419,4912,105375,1991,17249,775,1174218,4548,40,2017
14,Oregon,0400000US41,3260075,1264,1885983,5486,138139,3084,2625,364,1233328,4904,41,2017
15,Pennsylvania,0400000US42,10419971,2171,6096977,11665,422016,4324,4673,438,3896305,10146,42,2017
16,Rhode Island,0400000US44,871329,643,526071,3220,38634,1296,3315,257,303309,3112,44,2017
17,South Carolina,0400000US45,3926466,1529,2181046,7467,170257,3061,30597,1070,1544566,6997,45,2017
18,South Dakota,0400000US46,666450,510,438339,2243,17018,770,2666,296,208427,2238,46,2017
19,Tennessee,0400000US47,5270257,2135,2996610,7814,210756,3239,18183,952,2044708,8206,47,2017
20,Texas,0400000US48,20998008,3902,12689069,16147,784888,7682,91081,1847,7432970,15468,48,2017
21,Vermont,0400000US50,520031,418,327264,1811,14969,784,412,102,177386,1837,50,2017
22,Utah,0400000US49,2179088,1207,1412214,4979,64314,1725,4129,392,698431,4857,49,2017
23,Virginia,0400000US51,6708391,2019,4084035,9033,236648,3816,110817,2167,2276891,8621,51,2017
24,Washington,0400000US53,5734852,1536,3418123,7463,218821,3470,48875,1274,2049033,7753,53,2017
25,West Virginia,0400000US54,1503051,929,746958,4218,57659,1496,1110,234,697324,4153,54,2017
26,Wisconsin,0400000US55,4618274,1040,2939880,6150,145271,2447,2568,285,1530555,5157,55,2017
27,Wyoming,0400000US56,459782,682,293633,2356,14459,777,2656,314,149034,2060,56,2017
28,Puerto Rico,0400000US72,2836284,1355,1040136,6456,220597,3385,1487,302,1574064,6188,72,2017
29,Alabama,0400000US01,3876136,1541,2055509,6783,165391,3026,12309,808,1642927,7303,01,2017
30,Alaska,0400000US02,571453,613,354045,1983,29548,992,17029,660,170831,2137,02,2017
31,Arizona,0400000US04,5371341,1743,2953891,7521,225911,3543,17314,928,2174225,6965,04,2017
32,Arkansas,0400000US05,2351061,1508,1276536,4915,85128,2666,4438,442,984959,4548,05,2017
33,California,0400000US06,30910058,4537,17993915,18456,1491146,8868,127716,2206,11297281,19412,06,2017
34,Colorado,0400000US08,4320213,1579,2760076,5660,152856,2344,33422,1134,1373859,4855,08,2017
35,Delaware,0400000US10,762704,707,441513,2776,30245,1221,3016,345,287930,2507,10,2017
36,District of Columbia,0400000US11,564615,403,357701,2169,31279,1318,3441,315,172194,2158,11,2017
37,Connecticut,0400000US09,2928091,1176,1805086,5573,140712,2852,8566,559,973727,5280,09,2017
38,Florida,0400000US12,16645386,3527,9018570,16488,699117,7286,55075,1695,6872624,16244,12,2017
39,Georgia,0400000US13,7985333,2817,4606329,10137,372581,4720,47396,1665,2959027,10604,13,2017
40,Idaho,0400000US16,1271362,1113,748658,3516,42328,1633,3676,467,476700,3078,16,2017
41,Hawaii,0400000US15,1145914,597,671758,3189,34380,1314,40302,1095,399474,2950,15,2017
42,Illinois,0400000US17,10237883,1905,6181653,11428,491310,5023,17232,767,3547688,9587,17,2017
43,Indiana,0400000US18,5216340,1700,3124295,7633,202199,3066,2878,395,1886968,6891,18,2017
44,Iowa,0400000US19,2470612,1155,1599718,3937,69018,1829,1712,290,800164,3385,19,2017
45,Kansas,0400000US20,2264633,1016,1420045,4304,71009,1958,18430,775,755149,4006,20,2017
46,Kentucky,0400000US21,3526066,1709,1938150,6726,140717,2335,14705,634,1432494,5805,21,2017
47,Louisiana,0400000US22,3674007,1712,2031238,6531,157186,3055,15631,725,1469952,6456,22,2017
48,Maine,0400000US23,1104528,746,658693,3022,36790,1200,1859,297,407186,2910,23,2017
49,Maryland,0400000US24,4800851,1299,3040792,6119,198375,3190,27902,1170,1533782,6406,24,2017
50,Massachusetts,0400000US25,5576176,1451,3525672,7336,224856,3140,4953,508,1820695,6829,25,2017
51,Michigan,0400000US26,7985908,1654,4524874,8544,361624,4295,3844,385,3095566,7520,26,2017
52,Minnesota,0400000US27,4347413,1210,2904103,5562,130510,2428,2083,306,1310717,5062,27,2017
1,Mississippi,0400000US28,2350291,1237,1228537,6579,110036,2962,10767,757,1000951,6486,28,2018
2,Missouri,0400000US29,4864065,1668,2888094,7279,155958,3217,18444,829,1801569,6890,29,2018
3,Montana,0400000US30,838808,622,507249,2934,22433,946,3172,313,305954,2775,30,2018
4,Nebraska,0400000US31,1483161,874,993836,3343,36545,1153,5229,416,447551,2964,31,2018
5,Nevada,0400000US32,2322826,992,1370603,5233,101748,2436,7931,594,842544,5160,32,2018
6,New Hampshire,0400000US33,1114817,733,724017,3050,30392,1273,1830,297,358578,2811,33,2018
7,New Jersey,0400000US34,7142175,1961,4390602,8968,285084,4204,8426,624,2458063,9168,34,2018
8,New Mexico,0400000US35,1655769,1051,882735,4295,68370,1779,9461,703,695203,4033,35,2018
9,New York,0400000US36,15951997,3114,9445023,16653,602636,5934,22479,957,5881859,16009,36,2018
10,North Carolina,0400000US37,8124899,2216,4665822,9863,312610,4656,93073,1739,3053394,10103,37,2018
11,North Dakota,0400000US38,595742,569,400841,2200,11689,913,6074,425,177138,1933,38,2018
12,Ohio,0400000US39,9332790,2246,5549577,9628,343232,4748,8498,589,3431483,8402,39,2018
13,Oklahoma,0400000US40,3063396,1117,1761328,3895,99087,1888,17891,838,1185090,3608,40,2018
14,Oregon,0400000US41,3313374,1236,1934643,5800,123485,2696,2907,372,1252339,5819,41,2018
15,Pennsylvania,0400000US42,10432506,2037,6151998,12061,379765,5039,5083,442,3895660,10743,42,2018
16,Rhode Island,0400000US44,873369,608,527972,3037,34479,1259,3546,306,307372,2796,44,2018
17,South Carolina,0400000US45,3985183,1522,2227307,7946,153242,3477,31434,1113,1573200,7254,45,2018
18,South Dakota,0400000US46,673638,570,442773,2266,16252,826,2725,336,211888,2146,46,2018
19,Tennessee,0400000US47,5321857,1695,3047809,8707,191544,3431,18045,979,2064459,7908,47,2018
20,Texas,0400000US48,21394120,3908,12985624,17411,743006,7915,89701,2259,7575789,17146,48,2018
21,Vermont,0400000US50,521723,435,328742,1832,13878,743,548,136,178555,1895,50,2018
22,Utah,0400000US49,2224253,1136,1452040,4238,58958,2079,3940,504,709315,4060,49,2018
23,Virginia,0400000US51,6756219,2090,4118723,8057,217670,4125,114513,2235,2305313,7748,51,2018
24,Washington,0400000US53,5843155,1574,3513856,6919,198330,3629,48850,1425,2082119,6190,53,2018
25,West Virginia,0400000US54,1499244,1010,742615,4345,53750,2014,1058,219,701821,4110,54,2018
26,Wisconsin,0400000US55,4639447,1100,2964540,5982,124792,2443,2998,363,1547117,5552,55,2018
27,Wyoming,0400000US56,458979,576,290963,2021,13685,941,2837,375,151494,1845,56,2018
28,Puerto Rico,0400000US72,2793000,1487,1028500,5867,209950,3543,1583,293,1552967,5581,72,2018
29,Alabama,0400000US01,3894696,1458,2076708,7503,147898,3501,12558,734,1657532,6487,01,2018
30,Alaska,0400000US02,571528,513,351152,1873,28067,1191,17134,744,175175,1852,02,2018
31,Arizona,0400000US04,5498826,1638,3045978,9071,210214,3316,18334,797,2224300,8591,04,2018
32,Arkansas,0400000US05,2364108,1331,1292263,6408,75774,2163,4322,416,991749,6302,05,2018
33,California,0400000US06,31109195,3509,18309012,21745,1321502,10823,127777,2319,11350904,23795,06,2018
34,Colorado,0400000US08,4409148,1623,2839374,6507,139326,2465,33612,1267,1396836,6162,08,2018
35,Delaware,0400000US10,769793,600,450946,2671,28501,1209,3176,400,287170,2700,10,2018
36,District of Columbia,0400000US11,573275,457,369194,2358,29373,1256,3173,311,171535,2357,11,2018
37,Connecticut,0400000US09,2924591,1230,1810445,5049,125909,2445,8489,480,979748,4962,09,2018
38,Florida,0400000US12,16932309,3606,9253932,18237,622978,6448,54889,1825,7000510,18011,12,2018
39,Georgia,0400000US13,8082220,2829,4721065,11269,322854,4767,47213,1731,2991088,10719,13,2018
40,Idaho,0400000US16,1298537,1059,768701,3360,37672,1646,4057,469,488107,3019,16,2018
41,Hawaii,0400000US15,1147445,656,677446,3469,32036,1177,40045,902,397918,2946,15,2018
42,Illinois,0400000US17,10234674,2318,6225964,11788,437139,4998,16894,886,3554677,10716,17,2018
43,Indiana,0400000US18,5243518,1899,3164414,7526,180969,2815,3094,479,1895041,7003,18,2018
44,Iowa,0400000US19,2484354,1190,1609481,4666,65216,1805,1642,256,808015,4350,19,2018
45,Kansas,0400000US20,2272565,1193,1428660,4737,65038,1906,18007,757,760860,4218,20,2018
46,Kentucky,0400000US21,3542792,1660,1959442,6059,128358,2663,14088,633,1440904,5369,21,2018
47,Louisiana,0400000US22,3677980,1673,2031115,7130,149850,2864,16076,774,1480939,7351,22,2018
48,Maine,0400000US23,1109357,695,665188,2989,32203,1205,1789,283,410177,2958,23,2018
49,Maryland,0400000US24,4809210,1461,3051333,6255,181089,2853,29233,1092,1547555,6416,24,2018
50,Massachusetts,0400000US25,5619991,1584,3570257,8657,203464,3666,4921,478,1841349,7792,25,2018
51,Michigan,0400000US26,8027949,1878,4598487,8551,321008,3957,3821,349,3104633,7999,26,2018
52,Minnesota,0400000US27,4379008,1133,2931458,5963,119218,2591,2329,357,1326003,5349,27,2018
1,Alabama,0400000US01,3907144,1628,2097384,8132,132095,3186,13306,822,1664359,8165,01,2019
2,Alaska,0400000US02,571681,527,347774,2307,26808,1257,17756,768,179343,2228,02,2019
3,Arizona,0400000US04,5600921,1801,3130658,8087,195905,3326,19592,934,2254766,7861,04,2019
4,Arkansas,0400000US05,2374747,1066,1303490,5992,70481,1759,4751,491,996025,5644,05,2019
5,California,0400000US06,31284669,4066,18591241,17513,1199233,8353,131073,2515,11363122,17885,06,2019
6,Colorado,0400000US08,4489308,1555,2904589,6577,131371,3159,33671,1283,1419677,6172,08,2019
7,Delaware,0400000US10,777026,593,455620,2729,26481,1306,3432,438,291493,2683,10,2019
8,District of Columbia,0400000US11,579127,459,376871,2518,27967,1461,3066,296,171223,2282,11,2019
9,Connecticut,0400000US09,2924968,1138,1815636,5643,116456,2155,8733,501,984143,5442,09,2019
10,Florida,0400000US12,17201999,3131,9495353,17071,561448,6765,59225,2124,7085973,16163,12,2019
11,Georgia,0400000US13,8187263,2737,4834622,11248,290560,4651,49356,1514,3012725,10156,13,2019
12,Idaho,0400000US16,1327132,1059,792237,3988,35879,1514,4170,517,494846,3753,16,2019
13,Hawaii,0400000US15,1149147,679,680258,3100,30269,1220,41537,1051,397083,2791,15,2019
14,Illinois,0400000US17,10215498,2116,6250862,11643,394981,5339,17674,785,3551981,9834,17,2019
15,Indiana,0400000US18,5273902,1840,3202509,7919,161351,3232,3661,439,1906381,7634,18,2019
16,Iowa,0400000US19,2492793,1428,1613902,4945,62573,1740,1666,275,814652,4444,19,2019
17,Kansas,0400000US20,2278846,1204,1440453,5106,61002,1800,18335,798,759056,4058,20,2019
18,Kentucky,0400000US21,3553869,1687,1978477,7573,116945,2685,13747,581,1444700,6524,21,2019
19,Louisiana,0400000US22,3682698,1674,2033758,7031,141020,3538,17212,954,1490708,6889,22,2019
20,Maine,0400000US23,1114049,637,670417,2951,28922,1185,1931,319,412779,3031,23,2019
21,Maryland,0400000US24,4827204,1427,3073886,6745,164396,3095,30952,1051,1557970,5721,24,2019
22,Massachusetts,0400000US25,5648105,1533,3612375,8394,183355,3273,5201,423,1847174,7867,25,2019
23,Michigan,0400000US26,8049769,1722,4654930,9154,293894,3924,4179,456,3096766,7598,26,2019
24,Minnesota,0400000US27,4410576,1387,2958615,6139,111115,2186,2514,319,1338332,5207,27,2019
25,Mississippi,0400000US28,2354101,1361,1235224,6578,99733,2726,11721,674,1007423,6272,28,2019
26,Missouri,0400000US29,4881733,1771,2916000,7298,139789,2990,18850,999,1807094,6900,29,2019
27,Montana,0400000US30,847280,756,512329,2791,21513,1072,3030,303,310408,2501,30,2019
28,Nebraska,0400000US31,1491786,788,999212,3163,34535,1268,5751,504,452288,2633,31,2019
29,Nevada,0400000US32,2366398,1250,1406568,4974,92426,2090,8393,604,859011,4858,32,2019
30,New Hampshire,0400000US33,1121659,767,729701,2724,27430,1238,1950,348,362578,2667,33,2019
31,New Jersey,0400000US34,7148309,1739,4422491,9616,258093,4475,9265,708,2458460,8939,34,2019
32,New Mexico,0400000US35,1661646,1236,888646,4982,63458,2182,9895,763,699647,4900,35,2019
33,New York,0400000US36,15936244,2611,9498320,13893,547509,5409,23390,1003,5867025,14616,36,2019
