,NAME,GEO_ID,pop_est_ov16,pop_est_ov16_me,employed,employed_me,unemployed,unemployed_me,armed_forces,armed_forces_me,non_labor_force,non_labor_force_me,state,year
3,Arizona,0400000US04,4813496,1502,2747475,7324,227691,3977,20490,1030,1817840,7475,04,2010
4,Arkansas,0400000US05,2247624,1178,1254140,4879,106798,2496,7061,518,879625,4710,05,2010
5,California,0400000US06,28445585,4159,16632466,19046,1642405,9158,143435,2902,10027279,16830,06,2010
6,Colorado,0400000US08,3820290,1699,2456139,6374,180488,3107,30348,1012,1153315,6177,08,2010
7,Connecticut,0400000US09,2820837,1326,1765549,5408,145356,2879,8944,576,900988,5278,09,2010
8,Delaware,0400000US10,700375,765,419062,2855,32075,1457,3755,476,245483,2841,10,2010
9,District of Columbia,0400000US11,493401,397,297189,2534,30847,1597,3062,332,162303,2162,11,2010
10,Florida,0400000US12,14988197,2948,8317203,15196,810878,7826,59099,1970,5801017,13969,12,2010
11,Georgia,0400000US13,7287745,2357,4296760,9294,417161,4620,56625,1674,2517199,9265,13,2010
12,Hawaii,0400000US15,1068287,735,636454,3786,38015,1446,39598,1587,354220,3147,15,2010
13,Idaho,0400000US16,1153611,901,698898,2560,52582,1708,4446,458,397685,2772,16,2010
14,Illinois,0400000US17,9967535,2526,6062848,11006,569744,5462,21456,1125,3313487,9771,17,2010
15,Indiana,0400000US18,4996762,1700,2999570,7274,274859,3715,5245,532,1717088,6321,18,2010
16,Iowa,0400000US19,2377835,1148,1553594,3661,86487,2048,2412,330,735342,3621,19,2010
17,Kansas,0400000US20,2175144,1325,1390619,4168,88898,2120,15023,1112,680604,3909,20,2010
18,Kentucky,0400000US21,3383799,1613,1871531,5208,167390,2969,17412,1187,1327466,5200,21,2010
19,Louisiana,0400000US22,3455412,1512,1952818,5980,163976,3017,16588,861,1322030,6363,22,2010
20,Maine,0400000US23,1083357,757,657556,2831,45835,1378,3256,441,376710,2946,23,2010
21,Maryland,0400000US24,4503062,1893,2903595,6156,204333,2962,27841,1518,1367293,5789,24,2010
22,Massachusetts,0400000US25,5224911,1629,3271535,7325,259725,3554,6120,599,1687531,7266,25,2010
23,Michigan,0400000US26,7836314,2157,4369785,10590,568552,4408,5666,483,2892311,9870,26,2010
24,Minnesota,0400000US27,4111966,1297,2730721,5905,186210,2902,3242,358,1191793,5001,27,2010
25,Mississippi,0400000US28,2274381,1499,1216050,4564,129104,3091,13798,872,915429,4294,28,2010
26,Missouri,0400000US29,4664019,1670,2796027,6634,224872,3651,21229,1232,1621891,5744,29,2010
27,Montana,0400000US30,778518,643,476195,2665,28683,1150,3737,322,269903,2425,30,2010
28,Nebraska,0400000US31,1397699,933,937574,3147,50485,1565,5882,485,403758,2697,31,2010
29,Nevada,0400000US32,2050325,1093,1254163,5518,123758,2981,9422,651,662982,5689,32,2010
30,New Hampshire,0400000US33,1056843,759,695283,3057,43226,1358,1285,271,317049,3015,33,2010
31,New Jersey,0400000US34,6893087,1833,4230560,9166,356690,4495,9452,786,2296385,8181,34,2010
32,New Mexico,0400000US35,1561181,972,888761,4268,69142,2077,8520,648,594758,3961,35,2010
33,New York,0400000US36,15394140,3049,9045999,11816,735732,5646,26419,1278,5585990,11763,36,2010
34,North Carolina,0400000US37,7287107,1772,4234087,8605,406142,5232,85572,2156,2561306,7743,37,2010
35,North Dakota,0400000US38,529990,457,352012,1800,13145,765,5827,482,159006,1554,38,2010
36,Ohio,0400000US39,9079315,2120,5369857,11476,508130,4948,11792,773,3189536,9908,39,2010
37,Oklahoma,0400000US40,2866572,1387,1674765,5087,110717,2289,21376,1178,1059714,4627,40,2010
38,Oregon,0400000US41,3000732,1277,1763324,5841,168672,2841,3236,443,1065500,5234,41,2010
39,Pennsylvania,0400000US42,10147657,2264,5940972,10456,467650,4940,9688,574,3729347,9298,42,2010
40,Rhode Island,0400000US44,855547,816,515924,2921,44627,1938,4155,449,290841,2968,44,2010
41,South Carolina,0400000US45,3567959,1666,2002289,6513,204196,3121,37212,1183,1324262,6198,45,2010
42,South Dakota,0400000US46,623566,595,410156,2066,20155,1070,3358,339,189897,2050,46,2010
