,NAME,GEO_ID,est_households,est_households_me,under_10k,under_10k_me,bw_10_15k,bw_10_15k_me,bw_15_25k,bw_15_25k_me,bw_25_35k,bw_25_35k_me,bw_35_50k,bw_35_50k_me,bw_50_75k,bw_50_75k_me,bw_75_100k,bw_75_100k_me,bw_100_150k,bw_100_150k_me,bw_150_200k,bw_150_200k_me,over_200k,over_200k_me,median_hh_income,median_hh_income_me,mean_hh_income,mean_hh_income_me,state,year
33,New York,0400000US36,7215687,12387,569093,5386,377349,3901,714075,5832,668253,6010,882191,6484,1233315,7100,875786,6414,1002264,7457,421066,4105,472295,4921,56951,190,82698,295,36,2011
34,North Carolina,0400000US37,3664119,10139,301059,3661,232518,3308,438220,4365,431730,4553,550104,5110,675913,5846,417611,5154,378589,4461,124300,2595,114075,2456,46291,203,63298,264,37,2011
35,North Dakota,0400000US38,278669,1413,20765,730,16255,717,31017,983,32523,1041,40111,1228,54807,1196,36648,1000,31145,902,7828,462,7570,421,49415,595,64106,671,38,2011
36,Ohio,0400000US39,4554007,11819,368410,3713,267654,2942,526013,4350,513520,4295,676680,4789,868907,6047,550373,5171,500204,4860,156516,2590,125730,2255,48071,185,63477,183,39,2011
37,Oklahoma,0400000US40,1432735,4527,119463,2025,94356,1915,180730,2361,175976,2615,220674,2707,267328,2694,161042,2247,138678,2093,39282,1260,35206,932,44287,217,59961,269,40,2011
38,Oregon,0400000US41,1509554,3623,109404,2353,82828,1874,172223,2603,169154,2308,223110,3199,290871,3255,187776,2784,173299,2776,54458,1453,46431,1153,49850,311,65589,341,41,2011
39,Pennsylvania,0400000US42,4952566,9681,347688,3907,280290,3542,549828,4370,526986,4406,695428,5322,936012,5001,618470,4940,603926,5281,204504,2924,189434,2526,51651,148,69282,242,42,2011
40,Rhode Island,0400000US44,410475,1906,31299,1350,23949,1003,40850,1217,37002,1338,51588,1626,72010,1977,55265,1463,59387,1595,21368,1002,17757,827,55975,548,74010,710,44,2011
41,South Carolina,0400000US45,1758732,6067,161299,2250,114539,2219,221077,3129,205012,3149,261321,3830,322455,3903,199795,3294,177614,3023,51528,1615,44092,1311,44587,264,60128,330,45,2011
42,South Dakota,0400000US46,318466,1681,22372,918,18968,786,35791,1291,39543,1118,48060,1272,65907,1237,41427,1186,30825,922,7829,497,7744,471,48010,512,61832,626,46,2011
43,Tennessee,0400000US47,2457997,7240,220761,3148,164640,3001,311120,3899,294347,3738,373202,3973,454618,4288,270248,3647,227225,2947,71835,1730,70001,1733,43989,207,60516,267,47,2011
44,Texas,0400000US48,8667807,18866,647448,5677,477720,4595,961860,6116,949620,6443,1221056,7151,1563740,8285,1022013,7219,1058131,7863,387351,4598,378868,4218,50920,133,70777,180,48,2011
45,Vermont,0400000US50,256711,1178,15085,768,14153,656,26978,897,26006,956,37709,1053,52613,1096,34969,838,31262,941,9915,553,8021,456,53422,468,68098,655,50,2011
46,Utah,0400000US49,871358,2763,42967,1339,35136,1397,75134,1931,85305,1858,129934,2182,193117,2367,125996,2223,119560,2136,35401,984,28808,928,57783,371,72305,436,49,2011
47,Virginia,0400000US51,2991025,8371,169437,2818,127703,2444,251190,2683,260393,3088,379922,4256,537780,4148,395278,4259,457448,4448,203872,3245,208002,2824,63302,265,85323,298,51,2011
48,Washington,0400000US53,2602568,6193,155477,2636,112068,2347,234459,3418,248756,3006,353286,3778,502735,4110,357494,3901,383442,3482,136439,2220,118412,2089,58890,240,76504,277,53,2011
49,West Virginia,0400000US54,740080,2924,76136,1671,57939,1401,108931,2152,91610,1810,110523,2139,131051,2050,76185,1819,60215,1627,15093,797,12397,679,39550,356,52980,423,54,2011
50,Wisconsin,0400000US55,2279738,9509,135568,2458,120369,2174,245697,2806,247935,3092,338885,3347,461352,4137,313892,3510,276240,2973,76929,1688,62871,1333,52374,177,66693,233,55,2011
51,Wyoming,0400000US56,219628,1260,11225,666,9997,640,20818,834,23696,1056,31275,1225,44469,1289,31675,1017,31185,1020,8959,496,6329,546,56380,724,70940,1083,56,2011
52,Puerto Rico,0400000US72,1230093,3882,359423,3065,152681,1918,218374,2386,150861,2274,144115,2011,115284,2019,43157,1331,29758,908,8261,545,8179,515,19122,139,29872,198,72,2011
1,Alabama,0400000US01,1837576,5762,181464,3016,130184,2080,240224,3111,212357,2929,265092,3106,321774,3792,198770,2628,184425,2644,56794,1593,46492,1358,43160,237,59273,337,01,2012
2,Alaska,0400000US02,252991,1316,9426,615,8856,537,18689,846,20628,846,30592,1033,47028,1170,38701,993,46638,1165,18987,768,13446,610,69917,738,86208,920,02,2012
3,Arizona,0400000US04,2357158,8210,174815,3326,122529,2655,259590,3478,263537,3619,352564,3968,444436,5029,283220,3638,282775,3955,91876,2096,81816,2060,50256,235,67444,383,04,2012
4,Arkansas,0400000US05,1128797,4114,106597,2365,86802,1835,158921,2709,143740,2204,172108,2987,200563,2611,112502,2008,96226,1948,28534,1066,22804,945,40531,238,55158,358,05,2012
5,California,0400000US06,12466331,22603,683523,5847,645134,5647,1179814,6715,1132044,6948,1538363,8563,2137590,10430,1548498,9272,1883671,9823,836973,7365,880721,6873,61400,154,85265,198,06,2012
6,Colorado,0400000US08,1962753,5257,122252,2553,88420,1801,182678,2565,187042,3322,264321,3239,368073,3995,256412,3640,284789,3183,109930,2075,98836,1735,58244,315,77900,333,08,2012
7,Delaware,0400000US10,334076,1667,18128,849,13605,641,30561,1194,32054,1330,43859,1360,64576,1552,46209,1279,51586,1500,18288,774,15210,692,60119,714,77453,803,10,2012
8,District of Columbia,0400000US11,261192,1566,27304,1082,11975,752,19497,902,18720,931,28940,1058,38411,1351,29172,1168,37435,1125,19794,797,29944,926,64267,977,99511,1420,11,2012
9,Connecticut,0400000US09,1360184,3254,75058,1859,54957,1559,112156,2158,106343,2325,149868,2552,227033,2842,182040,2728,229474,2868,102997,1968,120258,1999,69519,414,97051,571,09,2012
10,Florida,0400000US12,7147013,25266,541783,5391,410383,4274,856277,6375,844895,6477,1091615,7701,1320344,9118,799533,7957,757089,7960,259478,3741,265616,3747,47309,189,66599,244,12,2012
11,Georgia,0400000US13,3508477,10358,300205,4144,203659,3218,393299,4443,379796,4193,488794,5287,642764,5573,407370,4381,408530,4967,146285,2649,137775,2927,49604,201,67659,303,13,2012
12,Idaho,0400000US16,577648,2248,38574,1163,32979,1098,69113,1605,72728,1658,91615,2028,119401,2161,68867,1788,56532,1715,15539,724,12300,720,47015,441,59974,473,16,2012
13,Hawaii,0400000US15,447453,1918,25790,1009,16111,788,32961,1350,35208,995,53610,1594,81730,1724,66450,1458,79393,1629,30852,1086,25348,887,67492,698,84466,702,15,2012
14,Illinois,0400000US17,4774275,11692,329319,3872,223692,3306,481833,4324,460909,4011,622840,4901,870399,4608,622617,5608,665711,5360,250681,3015,246274,3312,56853,213,77163,277,17,2012
15,Indiana,0400000US18,2478846,6570,178310,2722,138896,2433,286266,3223,291706,3005,381183,3976,485089,4628,309462,3621,271431,3656,74470,1635,62033,1526,48374,204,62715,274,18,2012
16,Iowa,0400000US19,1223509,3819,75398,1885,67953,1301,134208,2064,136565,1914,183903,2305,249513,2684,162595,2320,142354,2077,38692,1043,32328,1146,51129,273,64881,318,19,2012
17,Kansas,0400000US20,1109391,3369,70368,1353,58344,1283,122039,2136,122897,2073,167946,2172,217021,2423,140509,2317,132561,2129,41125,1135,36581,957,51273,259,67564,372,20,2012
18,Kentucky,0400000US21,1691716,5160,172401,2585,122081,2509,219614,3068,199018,2595,246619,3366,300565,3567,184514,2659,163262,2976,44360,1252,39282,1089,42610,238,57876,284,21,2012
19,Louisiana,0400000US22,1696499,4736,165883,2747,119506,2320,216388,3392,189472,2857,233396,3456,283061,3108,191633,2910,186409,2741,58974,1570,51777,1263,44673,254,62369,318,22,2012
20,Maine,0400000US23,553208,1937,37653,1375,35626,1116,66411,1576,64344,1675,81462,1926,108880,1685,68856,1494,59150,1249,17120,842,13706,652,48219,446,62392,522,23,2012
21,Maryland,0400000US24,2138806,4791,109214,2218,70865,1546,146336,2250,158597,2722,237798,3160,374085,4042,292053,3644,387696,3929,183781,2781,178381,2497,72999,344,94941,374,24,2012
22,Massachusetts,0400000US25,2525694,5174,159535,3156,132198,2113,213618,3063,195047,3220,277254,3040,412921,4318,329572,3994,422194,3941,190175,2910,193180,2640,66658,306,89965,349,25,2012
23,Michigan,0400000US26,3818931,9420,307673,3617,218175,2824,447919,3180,424646,3941,562333,4484,710401,4287,455526,4275,436208,4068,141718,2241,114332,2027,48471,188,64538,212,26,2012
24,Minnesota,0400000US27,2101875,4843,119065,1945,96221,2024,194014,2781,198822,2794,281702,3082,408073,3588,298955,3049,306531,3172,104996,1537,93496,1774,59126,224,76372,293,27,2012
25,Mississippi,0400000US28,1087791,4787,123655,2345,88154,2115,155861,2900,130506,2646,156510,2432,184225,2761,109035,2005,91482,2097,25991,1073,22372,874,38882,290,54176,386,28,2012
26,Missouri,0400000US29,2358270,6239,182960,2584,141133,2583,280206,3654,273973,3357,355170,4032,445352,3944,278638,3636,255393,2728,79726,1547,65719,1639,47333,208,63405,238,29,2012
27,Montana,0400000US30,405508,1562,28595,1135,25443,915,53380,1433,50369,1301,61988,1391,77931,1843,48102,1219,40386,1288,10421,587,8893,548,45456,512,59569,581,30,2012
28,Nebraska,0400000US31,721026,2566,43365,1229,39604,1006,79912,1404,81256,1656,106931,1564,145596,2051,95772,1728,83774,1310,23989,833,20827,693,51381,286,65979,316,31,2012
29,Nevada,0400000US32,992896,4496,61613,1761,43705,1525,99666,2037,108351,2548,144987,2663,199115,3092,130840,2641,128510,2328,42153,1470,33956,1189,54083,349,70775,459,32,2012
30,New Hampshire,0400000US33,516845,1886,22805,1130,20623,875,42981,1386,45855,1418,66216,1510,95654,1865,75050,1674,86889,1647,33928,1073,26844,829,64925,565,82346,655,33,2012
31,New Jersey,0400000US34,3186878,6182,168154,2908,121629,2425,252182,3137,253231,2874,340950,3275,520945,5118,416217,4125,556240,4902,267652,3490,289678,3431,71637,324,96602,395,34,2012
32,New Mexico,0400000US35,763844,2469,70369,1844,48969,1373,96797,1955,89020,2044,111308,2238,133356,2429,85103,2117,80479,1945,27409,996,21034,884,44886,358,61477,451,35,2012
33,New York,0400000US36,7230896,10206,567084,4771,377358,3788,716307,5706,660788,4917,871103,5401,1223080,5902,869969,5947,1018288,6906,436257,4120,490662,4780,57683,214,83578,294,36,2012
34,North Carolina,0400000US37,3693221,10521,304948,3991,234269,3509,440439,4594,436649,4468,548476,4875,675829,5899,421615,4484,387530,4887,126987,2508,116479,2078,46450,188,63562,212,37,2012
35,North Dakota,0400000US38,282667,1454,20013,971,15556,756,29174,855,31639,1137,41052,1098,54586,1305,37926,897,34652,1009,8895,496,9174,477,51641,609,67426,754,38,2012
36,Ohio,0400000US39,4555709,12250,369756,3501,266295,3430,530993,4342,510545,4858,669984,4164,860387,6223,547470,4618,506695,5004,161390,2266,132194,2198,48246,160,63996,185,39,2012
37,Oklahoma,0400000US40,1439292,3830,118803,2062,93177,1895,179827,2134,174697,2426,217905,2815,269248,2887,163449,2108,143961,1852,40964,1153,37261,1081,44891,237,60788,293,40,2012
38,Oregon,0400000US41,1512718,4455,112254,2476,82472,1695,171119,2753,166561,2815,223451,3374,287679,3641,185980,2541,178450,2498,56448,1291,48304,1295,50036,338,66161,396,41,2012
39,Pennsylvania,0400000US42,4959633,9716,347445,3234,275723,2876,547300,4220,523757,3934,686944,5121,928256,5618,619468,5034,616082,5517,215616,2725,199042,2466,52267,157,70243,177,42,2012
40,Rhode Island,0400000US44,410639,1840,31866,1221,23631,1042,40957,1219,36928,1284,51593,1451,71440,1589,53357,1367,60178,1618,22087,971,18602,900,56102,664,74605,693,44,2012
41,South Carolina,0400000US45,1768255,6584,161142,3006,116431,2288,222966,3653,206332,3242,262173,3672,321185,4209,196742,3612,181342,3211,54660,1537,45282,1280,44623,253,60416,332,45,2012
42,South Dakota,0400000US46,320467,1449,22021,819,18753,840,35634,1102,37579,1215,48851,1117,65291,1142,42810,1168,32470,1001,8633,509,8425,465,49091,470,63453,692,46,2012
43,Tennessee,0400000US47,2468841,7308,219395,3164,165842,2730,313161,3830,298501,3385,370573,4102,448761,4817,272411,3804,234994,4008,73667,1678,71536,1586,44140,230,60861,288,47,2012
44,Texas,0400000US48,8782598,17197,653830,5297,477619,5399,966750,6539,953765,6999,1220062,6983,1576580,7316,1035191,7542,1093338,8202,407006,4348,398457,4458,51563,138,71651,182,48,2012
45,Vermont,0400000US50,256830,1395,15197,693,13962,669,26454,867,25890,864,37489,1026,51636,1203,35477,976,32021,903,10438,532,8266,530,54168,617,69033,787,50,2012
46,Utah,0400000US49,880873,2335,44942,1413,35201,1280,77371,1919,84053,1771,129509,2142,193458,2666,126293,2159,122269,2241,37742,1129,30035,1074,58164,350,73002,412,49,2012
47,Virginia,0400000US51,3006219,8230,171152,3204,126284,2372,255562,3281,260267,3336,377826,4409,531572,4936,392128,4028,462253,4011,208976,2869,220199,3546,63636,250,86343,327,51,2012
48,Washington,0400000US53,2619995,5330,159121,3034,111915,2256,235311,3486,248228,3189,352214,4186,499007,3946,356484,3939,390195,4155,143095,1954,124425,2165,59374,263,77232,277,53,2012
49,West Virginia,0400000US54,742674,2728,75845,1856,55795,1468,108081,1848,90608,1961,109060,2030,133421,2064,77614,1800,62953,1536,15778,741,13519,835,40400,328,54072,473,54,2012
50,Wisconsin,0400000US55,2286339,8155,135623,2366,121262,2132,247257,3183,246322,3006,337849,2946,458496,3948,311322,3195,283280,3033,79140,1669,65788,1484,52627,183,67188,218,55,2012
51,Wyoming,0400000US56,221479,1524,11279,736,10717,640,21127,801,22992,1094,31395,1225,44135,1275,31949,1091,32413,1148,9172,601,6300,444,56573,981,70836,906,56,2012
52,Puerto Rico,0400000US72,1217584,3157,348497,3652,146039,2196,221602,2630,150363,2262,144971,2367,116066,1819,43493,990,29815,1065,8630,532,8108,517,19515,146,30270,209,72,2012
1,Alabama,0400000US01,1838683,5863,184131,2799,128440,2529,240048,3064,210561,2858,266455,3357,317963,3700,198710,3319,186128,2663,58625,1560,47622,1263,43253,241,59631,307,01,2013
2,Alaska,0400000US02,251899,1331,9520,495,8817,544,19399,889,19454,778,29443,945,46480,1244,38088,1203,46627,1157,19892,954,14179,658,70760,732,87235,820,02,2013
3,Arizona,0400000US04,2370289,8769,180223,3208,124064,2395,267041,3290,266550,3703,351910,4129,440507,5002,283273,3935,281058,3642,93521,2201,82142,1812,49774,253,66971,247,04,2013
4,Arkansas,0400000US05,1129723,4304,106061,2314,85481,1913,160085,2536,143039,2454,171316,2643,199333,2878,112093,2217,98954,2175,29499,846,23862,998,40768,330,55749,338,05,2013
5,California,0400000US06,12542460,20542,714855,5790,646495,5406,1201822,7830,1137796,7531,1541102,9280,2122567,9530,1551514,7945,1870135,10915,848259,6920,907915,6959,61094,157,85408,204,06,2013
6,Colorado,0400000US08,1977591,4762,122812,2510,86121,2010,186543,3236,189883,3052,265152,3245,363972,3834,261169,3861,286077,3121,112934,1844,102928,1884,58433,314,78383,366,08,2013
7,Delaware,0400000US10,335707,1773,18568,972,13615,834,30846,1220,32641,1119,43916,1157,64117,1625,45443,1300,51574,1270,18949,809,16038,797,59878,714,77915,776,10,2013
8,District of Columbia,0400000US11,263649,1588,27350,1078,12220,707,20194,789,18500,1046,27389,1126,38121,1113,28956,1108,38742,1144,20912,916,31265,968,65830,1006,101076,1480,11,2013
9,Connecticut,0400000US09,1355849,3506,76257,1863,54030,1480,113614,2131,106176,1790,148806,2205,223674,2944,178175,2870,227122,2779,105201,2009,122794,1871,69461,411,97650,492,09,2013
10,Florida,0400000US12,7158980,25790,558329,4658,408552,4325,871585,7166,846131,5998,1090027,8043,1305146,8228,795247,7526,755400,8144,260153,3916,268410,4311,46956,149,66368,251,12,2013
11,Georgia,0400000US13,3518097,10972,307761,3944,202306,3141,400652,4815,383613,4782,488801,5241,634516,5707,407128,4976,406119,4971,148363,3119,138838,2535,49179,208,67572,262,13,2013
12,Idaho,0400000US16,579797,2551,40308,1360,32378,1050,69113,1733,73415,1801,92452,1633,117569,1966,69597,1603,56231,1532,15893,894,12841,778,46767,413,60192,522,16,2013
13,Hawaii,0400000US15,449771,1783,25908,858,15964,833,33917,1344,35681,1407,52948,1512,82411,1641,64955,1741,80045,1868,31526,1168,26416,879,67402,734,84933,634,15,2013
14,Illinois,0400000US17,4772723,11056,337875,3507,219468,2941,484449,4281,462771,3861,618005,5010,856630,5160,615943,4843,667146,5945,255728,3081,254708,3300,56797,190,77660,269,17,2013
15,Indiana,0400000US18,2481793,6580,183230,2890,136220,2054,289432,4005,289157,3169,383572,3651,479611,4073,309007,3308,272366,3249,75783,1910,63415,1788,48248,198,62988,315,18,2013
16,Iowa,0400000US19,1226547,3433,75927,1699,65463,1462,132816,2036,135167,2103,182363,2329,245843,2633,165742,1930,147741,1954,41560,1192,33925,1198,51843,258,66136,358,19,2013
17,Kansas,0400000US20,1110440,3304,71523,1819,57581,1411,122171,1745,123863,2065,166166,2073,214925,2484,139808,2165,134023,2313,42911,1240,37469,979,51332,304,68051,371,20,2013
18,Kentucky,0400000US21,1694996,5311,169440,2633,120065,2398,221896,3041,196916,2411,246988,2855,298895,3299,186091,2537,167641,2469,45920,1339,41144,1206,43036,250,58621,296,21,2013
19,Louisiana,0400000US22,1707852,5031,169096,2548,119061,2479,219124,2893,187938,2679,231383,3078,281939,2994,191885,2917,190455,2734,62525,1576,54446,1688,44874,251,62773,414,22,2013
20,Maine,0400000US23,553823,2219,37823,1231,35585,1153,66164,1454,64365,1589,80673,1637,107059,1763,69275,1495,60242,1357,17636,692,15001,630,48453,521,63143,472,23,2013
21,Maryland,0400000US24,2146240,5641,110773,2288,71867,2093,149588,2722,155035,2770,233331,2819,370880,3856,290488,4147,389664,3820,188001,2720,186613,2367,73538,404,96072,366,24,2013
22,Massachusetts,0400000US25,2530147,5224,156920,2599,132727,2383,218583,3082,197798,2674,273626,3452,407803,4706,325171,3942,420563,4220,196455,2667,200501,2436,66866,318,90877,389,25,2013
23,Michigan,0400000US26,3823280,8829,312673,2931,215695,3241,452251,3795,426840,3301,557516,4375,704343,4219,455719,3862,436587,4234,143832,2252,117824,1863,48411,163,64753,209,26,2013
24,Minnesota,0400000US27,2107232,5485,118627,2192,94380,1872,196633,2432,195414,2634,278751,2882,402537,3043,300891,2549,313472,3175,109669,1600,96858,1699,59836,236,77204,311,27,2013
25,Mississippi,0400000US28,1088073,4665,123572,1848,87699,2029,155165,2754,130869,2574,156800,2477,184193,2725,108782,2389,91983,1994,26667,1090,22343,905,39031,319,54132,350,28,2013
26,Missouri,0400000US29,2360131,6252,185438,2712,140151,2386,282377,3409,272105,2881,353222,3967,442665,4035,277610,3522,255101,2953,82787,1699,68675,1597,47380,216,63756,259,29,2013
27,Montana,0400000US30,405525,2059,28960,945,25452,1162,52977,1422,48747,1256,60857,1510,78185,1614,48192,1379,41350,1288,10988,721,9817,612,46230,453,60639,685,30,2013
28,Nebraska,0400000US31,725787,2583,43700,1273,39329,1187,79436,1634,81008,1474,107494,1846,145063,2083,95441,1809,86881,1387,25358,698,22077,742,51672,325,67023,505,31,2013
29,Nevada,0400000US32,999016,4087,64761,1952,45707,1424,104336,2230,110242,2347,147590,2483,196700,3326,128199,2367,126540,2674,41574,1400,33367,1364,52800,389,69629,482,32,2013
30,New Hampshire,0400000US33,518245,2172,23090,1033,20804,976,43651,1395,45422,1423,66299,1627,95826,1788,75345,1690,86267,1733,33964,1163,27577,860,64916,611,82935,699,33,2013
31,New Jersey,0400000US34,3186418,6092,171165,3149,120858,2365,258583,3451,251903,3248,339303,3989,512173,4231,412914,4423,548453,4597,271209,3028,299857,3113,71629,303,97225,391,34,2013
32,New Mexico,0400000US35,761938,3017,71461,1879,48607,1661,98597,2210,86961,2330,109543,2316,130841,2227,85888,2018,80811,1737,27447,963,21782,941,44927,432,61682,449,35,2013
33,New York,0400000US36,7234743,12096,562307,4944,378465,3974,724289,5592,657882,5498,859574,6662,1201783,6007,870855,5684,1023910,7152,447506,4482,508172,5368,58003,204,84432,330,36,2013
34,North Carolina,0400000US37,3715565,9398,308049,3350,233359,3397,449990,5277,439433,4411,550826,4957,672190,6370,421138,4327,389359,4268,129924,2596,121297,2543,46334,196,63707,285,37,2013
35,North Dakota,0400000US38,287270,1270,19649,824,14666,670,28778,889,31003,1122,40402,1255,54151,1285,40559,1182,37250,888,10423,528,10389,549,53741,572,70235,720,38,2013
36,Ohio,0400000US39,4557655,12660,373100,4174,261060,2994,539247,4382,509205,4290,663906,5078,848205,6359,544600,5893,516086,5008,164848,2548,137398,2151,48308,197,64449,207,39,2013
37,Oklahoma,0400000US40,1444081,3776,118074,2084,91714,1621,179887,2354,174035,2256,218333,2283,269394,2575,164184,2384,146462,2297,43173,1195,38825,1023,45339,196,61481,314,40,2013
38,Oregon,0400000US41,1516456,4721,113661,2333,82414,2181,172963,2796,164965,2513,221056,3180,284102,3639,189104,2731,181217,2761,57543,1649,49431,1210,50229,278,66666,313,41,2013
39,Pennsylvania,0400000US42,4958427,8583,345937,3156,271438,3129,547909,4067,519821,3714,681101,4668,917431,5416,619946,4948,623000,6021,223609,3314,208235,2961,52548,165,71088,195,42,2013
40,Rhode Island,0400000US44,410058,1761,31401,1267,22800,1067,41618,1274,37306,1499,50631,1441,71399,1687,53173,1630,58965,1452,23144,942,19621,797,56361,645,75749,800,44,2013
41,South Carolina,0400000US45,1780251,5580,163030,2624,116039,2245,225050,3040,207466,3466,262551,3515,321440,4017,198097,2905,183841,3136,56280,1661,46457,1373,44779,250,60601,290,45,2013
42,South Dakota,0400000US46,323136,1682,21652,803,18637,862,35668,1002,37280,1088,49877,1348,64463,1294,43059,1447,34199,980,9037,568,9264,472,49495,516,64133,735,46,2013
43,Tennessee,0400000US47,2475195,6759,217711,3601,162115,2618,318337,3926,298030,3093,369883,3535,448213,4221,273220,3523,238782,3594,76238,1965,72666,1523,44298,222,61291,294,47,2013
44,Texas,0400000US48,8886471,18279,657526,5592,474956,5057,978423,6423,951694,6871,1229000,5992,1585607,7988,1043060,7122,1122462,8058,425006,4449,418737,4473,51900,132,72474,205,48,2013
45,Vermont,0400000US50,257004,1218,15122,675,14349,613,26875,806,25846,952,36490,950,50853,1036,35306,909,32198,850,11164,565,8801,469,54267,548,69716,717,50,2013
46,Utah,0400000US49,886770,2762,45505,1558,34874,1341,79451,1784,83689,1846,126968,2029,190783,2280,130069,1899,124197,1980,38991,1084,32243,1154,58821,388,73717,424,49,2013
47,Virginia,0400000US51,3022739,8232,173319,2598,125294,2288,256391,3506,262422,2950,374689,4378,531317,4247,389352,3568,466218,4855,213443,3142,230294,3036,63907,248,87094,310,51,2013
48,Washington,0400000US53,2629126,5804,162900,3005,110745,2026,240286,3606,245734,2949,349666,3939,492858,3875,355758,3583,393182,3726,148537,2460,129460,2206,59478,291,77827,309,53,2013
49,West Virginia,0400000US54,741390,3047,74709,1755,54082,1409,107605,1776,88334,1531,109610,2007,129915,2213,79100,1644,65860,1513,17518,815,14657,797,41043,338,55308,446,54,2013
50,Wisconsin,0400000US55,2288332,6551,137450,2223,121727,1870,251043,2345,246907,2638,334469,2703,453672,3389,307662,3096,285744,2816,82188,1746,67470,1448,52413,173,67448,255,55,2013
51,Wyoming,0400000US56,222846,1618,11125,713,10612,707,21706,963,22748,830,30917,1151,43782,1214,32050,1202,33809,1122,9535,599,6562,513,57406,841,71081,893,56,2013
52,Puerto Rico,0400000US72,1230868,3660,349323,3014,145614,2135,228236,2641,151055,2306,145460,2272,117886,2020,45147,1311,30795,1065,9145,666,8207,552,19624,137,30510,233,72,2013
1,Mississippi,0400000US28,1092627,4203,122908,2323,85676,1982,153950,2369,131494,2407,158093,2683,185625,2794,109443,2195,94413,2599,27148,1058,23877,1168,39464,306,54881,418,28,2014
2,Missouri,0400000US29,2361232,6423,185862,2683,137349,2626,279835,3408,270210,3628,350867,3742,439361,4412,277835,3619,260548,2783,86264,1559,73101,1493,47764,234,64703,268,29,2014
3,Montana,0400000US30,407797,1827,28810,1046,25422,1045,50835,1431,49069,1280,61625,1538,77734,1797,48115,1376,42960,1203,12228,602,10999,612,46766,502,62086,625,30,2014
4,Nebraska,0400000US31,731347,2551,43612,1127,38613,1048,78116,1807,79963,1796,107420,1646,144951,1906,96604,1635,91581,1460,27216,939,23271,734,52400,334,68081,412,31,2014
5,Nevada,0400000US32,1005958,4387,65902,1678,47421,1480,106652,2637,111592,2179,149519,2489,196904,2830,127807,2591,124264,2659,41757,1389,34140,1202,52205,302,69351,515,32,2014
6,New Hampshire,0400000US33,519580,2032,22247,1023,20954,934,43320,1234,45154,1424,64306,1584,95561,1977,74613,1741,88631,1865,35272,1161,29522,1008,65986,546,84480,699,33,2014
7,New Jersey,0400000US34,3188498,6117,172623,2697,121595,2481,258445,3017,248678,3516,336137,4010,509599,4515,406137,3927,546533,4776,276523,3586,312228,3678,72062,330,98286,390,34,2014
8,New Mexico,0400000US35,764684,2848,73432,1795,49342,1444,97902,1618,86512,2018,108711,2357,129114,2380,87017,1814,81423,1734,28718,1146,22513,869,44968,419,62136,509,35,2014
9,New York,0400000US36,7255528,10898,559519,4446,384024,4132,718436,4767,649804,4780,856304,5791,1191846,6826,870092,4547,1036707,7656,460201,4453,528595,5388,58687,207,85736,319,36,2014
10,North Carolina,0400000US37,3742514,9967,305157,3890,234311,3495,446287,4371,440442,4651,557000,5055,675570,5921,425455,4459,395257,4405,135720,2415,127315,2497,46693,191,64555,293,37,2014
11,North Dakota,0400000US38,292616,1578,19201,730,14540,751,27986,872,30857,1106,40230,1309,55095,1409,41239,1163,39474,1015,12005,643,11989,585,55579,753,73272,825,38,2014
12,Ohio,0400000US39,4570015,10810,372228,3528,258598,2728,534290,4656,502564,4578,661893,4992,844149,5643,548179,4787,527734,4736,172489,2836,147891,1926,48849,162,65491,179,39,2014
13,Oklahoma,0400000US40,1450117,3649,115957,1829,90529,1688,177996,2338,171338,1989,216597,2389,271794,2653,165158,2380,152419,2152,46078,1134,42251,1234,46235,201,62871,347,40,2014
14,Oregon,0400000US41,1522988,4103,113411,2400,83361,1876,171232,2819,164284,2192,221577,2842,283404,3077,189272,2865,184328,2883,59510,1662,52609,1510,50521,266,67671,322,41,2014
15,Pennsylvania,0400000US42,4957736,9670,345127,4351,266940,2966,536854,4513,514886,5144,675722,4691,913230,4561,618120,4141,637628,4862,232115,3408,217114,2650,53115,159,72210,203,42,2014
16,Rhode Island,0400000US44,409569,1699,31892,1167,22856,997,41287,1320,37855,1338,50115,1517,69944,1693,52433,1460,58541,1627,23694,1029,20952,1000,56423,679,76618,787,44,2014
17,South Carolina,0400000US45,1795715,5585,160867,2951,116071,2488,227308,3266,208093,3027,265362,3268,323159,3868,200965,3275,186327,3167,58366,1411,49197,1478,45033,249,61196,317,45,2014
18,South Dakota,0400000US46,327101,1655,21135,913,18424,743,35348,901,37423,1130,50153,1332,63866,1131,44583,974,36693,994,9544,572,9932,563,50338,436,65425,687,46,2014
19,Tennessee,0400000US47,2487349,6925,217179,2610,160224,2896,318124,3379,295423,3358,370241,4011,450029,4946,272085,3884,247722,3340,79567,1961,76755,1507,44621,206,62344,330,47,2014
20,Texas,0400000US48,9013582,16898,657362,5794,474437,5087,974987,5563,949362,6373,1236209,7701,1602282,8767,1059592,7570,1161024,8122,447681,4817,450646,4279,52576,147,73913,175,48,2014
21,Vermont,0400000US50,257252,1155,14913,729,14611,664,26542,951,26349,1030,36146,854,49710,1007,35431,989,33370,890,11021,538,9159,550,54447,555,70524,797,50,2014
22,Utah,0400000US49,896194,2411,45335,1313,34879,1299,79428,1786,83633,2090,123948,2127,191243,2512,132747,2120,129243,1975,40632,1249,35106,1096,59846,392,75204,463,49,2014
