,NAME,GEO_ID,est_households,est_households_me,under_10k,under_10k_me,bw_10_15k,bw_10_15k_me,bw_15_25k,bw_15_25k_me,bw_25_35k,bw_25_35k_me,bw_35_50k,bw_35_50k_me,bw_50_75k,bw_50_75k_me,bw_75_100k,bw_75_100k_me,bw_100_150k,bw_100_150k_me,bw_150_200k,bw_150_200k_me,over_200k,over_200k_me,median_hh_income,median_hh_income_me,mean_hh_income,mean_hh_income_me,state,year
28,Nebraska,0400000US31,2617,286,702637,4462,47902,1304,41039,1291,82906,1541,83822,1619,109525,1805,146852,1919,87734,1672,69882,1327,17498,741,15477,657,47995,270,31,2009
29,Nevada,0400000US32,1735,311,944178,3503,51989,1708,37420,1494,88478,2256,100868,1888,141100,2912,199439,3046,131291,2584,123906,2327,38153,1383,31534,1288,55585,420,32,2009
30,New Hampshire,0400000US33,890,167,502201,1807,23627,1036,20208,1078,41574,1207,44160,1231,67347,1483,100096,1982,76318,1457,80093,1632,27428,1164,21350,773,63033,443,33,2009
31,New Jersey,0400000US34,6850,611,3152877,6305,171072,2993,125320,2301,249289,3180,248650,3204,357489,3722,541156,5286,430450,3724,544894,4660,236860,3230,247697,2949,68981,284,34,2009
32,New Mexico,0400000US35,2816,480,736630,2632,69841,1674,50531,1451,95262,1850,89308,1862,113698,2252,131897,2474,79663,1846,68433,1230,21357,859,16640,773,42742,371,35,2009
33,New York,0400000US36,13888,803,7137013,10676,589813,3932,386730,4084,710573,5081,672605,5155,903518,4956,1247880,6024,870891,6411,951204,6752,378476,4219,425323,4329,55233,179,36,2009
34,North Carolina,0400000US37,7792,690,3541807,8943,306904,3527,228032,3898,433358,4013,424996,4822,540793,4814,661462,6051,395366,4339,343537,4029,105901,2062,101458,1666,45069,212,37,2009
35,North Dakota,0400000US38,1172,142,273035,2886,22701,913,17701,846,33338,1164,33663,1158,42041,1073,55035,1349,32074,957,25029,812,5898,407,5555,346,45140,557,38,2009
36,Ohio,0400000US39,9679,591,4526164,11662,374003,4126,270738,3188,525935,4056,520829,5005,692252,5687,881389,5678,545023,5449,468999,4607,137416,2394,109580,1937,47144,158,39,2009
37,Oklahoma,0400000US40,4807,402,1405005,5357,130195,2327,96971,2081,188122,2436,179156,2754,219578,2580,262420,3221,148083,2034,118984,2055,31441,1002,30055,1007,41861,256,40,2009
38,Oregon,0400000US41,4756,434,1464196,4051,106514,2206,84894,2089,166246,2196,165692,2656,221791,2669,289759,3366,179482,2519,159686,2629,47603,1381,42529,1104,49033,272,41,2009
39,Pennsylvania,0400000US42,11083,719,4893127,9499,357193,3852,293211,3516,559604,4096,539808,4637,708328,4927,936707,5629,602849,4862,555307,5222,176468,2607,163652,2359,49737,158,42,2009
40,Rhode Island,0400000US44,584,159,404227,1985,30304,1222,23599,850,39821,1375,37573,1137,51874,1373,73334,1531,56567,1368,56462,1442,19150,881,15543,743,55569,655,44,2009
41,South Carolina,0400000US45,3526,456,1693388,5336,160653,2831,111315,2144,213910,3235,207214,3214,257121,3501,314738,3392,189787,2642,155367,2457,44154,1348,39129,1185,43572,213,45,2009
42,South Dakota,0400000US46,2142,293,314674,2136,24595,943,20036,850,38852,1262,39599,1056,51169,1152,66391,1315,36372,999,25146,706,6130,372,6384,388,44828,413,46,2009
43,Tennessee,0400000US47,5850,578,2412567,6023,232036,3451,165587,2805,305442,3262,295561,3571,374640,4036,448763,3794,256219,3140,207174,3475,63019,1641,64126,1566,42943,195,47,2009
44,Texas,0400000US48,22052,1276,8269046,16452,671142,5549,484624,4136,965762,6945,937992,7269,1205223,7579,1483303,8719,951399,7815,929569,6382,323021,3993,317011,3601,48199,150,48,2009
45,Utah,0400000US49,2233,270,831563,2321,40441,1302,33580,1141,72997,1850,87182,1843,132950,2358,184847,2220,118283,2104,106845,1972,29989,1081,24449,833,55642,374,49,2009
46,Vermont,0400000US50,1041,169,250375,1097,15528,657,14326,606,27365,1039,26023,852,38542,1077,52107,1098,32754,1092,28956,884,8187,441,6587,401,51284,467,50,2009
47,Virginia,0400000US51,5064,480,2936634,7722,176982,2736,131137,2746,254426,3273,266783,3544,392147,3786,547181,5184,389068,4628,427147,4381,179058,2525,172705,2297,60316,258,51,2009
48,Washington,0400000US53,5480,479,2512327,5498,157620,2863,113271,2227,234381,3268,248964,3680,358996,3985,492662,4371,342330,3611,348552,3393,116148,2491,99403,1758,56384,246,53,2009
49,West Virginia,0400000US54,1786,326,746419,3135,82194,1634,62081,1740,112706,1979,96465,1848,115704,2239,130416,2289,73048,1592,51186,1489,12052,677,10567,655,37356,321,54,2009
50,Wisconsin,0400000US55,6141,436,2246512,9254,136219,2046,120581,2254,241587,3297,248252,2879,342199,3454,470449,3904,309448,2744,255323,2957,65719,1438,56735,1295,51569,163,55,2009
51,Wyoming,0400000US56,1274,253,208269,1365,11457,760,10334,617,22561,983,23371,938,32715,1215,42751,1309,28275,1127,25377,828,6291,498,5137,413,51990,724,56,2009
52,Puerto Rico,0400000US72,2063,350,1213939,2811,366402,3007,153343,2296,212336,2725,149488,2162,138525,2145,109334,1988,41328,1140,27934,1048,7505,481,7744,544,18627,143,72,2009
1,Alabama,0400000US01,1821210,5620,186689,2960,130766,2430,242846,3336,213143,3101,268333,2884,321908,3206,192900,2725,170962,2293,51342,1435,42321,1379,42081,183,57655,324,01,2010
2,Alaska,0400000US02,248248,1590,9768,661,9499,601,18795,899,22086,868,31304,1076,47498,1237,37780,1087,44627,1233,15578,653,11313,565,66521,642,82091,921,02,2010
3,Arizona,0400000US04,2326468,7863,163071,3167,119317,2247,251762,3240,263031,3912,355659,4201,446445,4525,286189,3629,275283,3695,85914,1721,79797,1659,50448,217,67436,289,04,2010
4,Arkansas,0400000US05,1117154,4134,110110,2188,86244,2101,161759,2734,145279,2653,175890,2546,198443,2732,108197,2037,86543,1822,24030,1116,20659,979,39267,283,53253,383,05,2010
5,California,0400000US06,12392852,22329,658672,6172,631056,4962,1173282,7201,1133156,9092,1568638,8671,2183946,9855,1586032,7648,1861933,10837,790965,5973,805172,6073,60883,150,83483,187,06,2010
6,Colorado,0400000US08,1918959,5137,122798,2254,89897,2257,183803,2376,186995,2707,267520,2994,363275,3726,252226,3140,269372,3467,96480,1795,86593,1861,56456,309,75264,355,08,2010
7,Connecticut,0400000US09,1359218,2943,73564,1995,55426,1638,112550,2099,107632,2441,157126,2359,234976,2948,188102,2458,226765,2696,93104,2019,109973,1821,67740,381,94306,512,09,2010
8,Delaware,0400000US10,331639,1553,18898,906,13452,659,31324,1125,32928,1093,46063,1329,65501,1358,45734,1260,47732,1200,17093,755,12914,665,57599,651,74703,773,10,2010
9,District of Columbia,0400000US11,257317,1314,28142,1082,12497,758,20818,952,20700,1104,30390,1031,40209,1332,28497,1283,32971,1231,18488,757,24605,763,58526,982,91778,1144,11,2010
10,Florida,0400000US12,7152844,25315,519226,5964,403434,4125,846055,6744,844508,6695,1114103,9014,1351814,10185,820638,8019,751498,7869,245316,3708,256252,3871,47661,173,66323,218,12,2010
11,Georgia,0400000US13,3468704,10407,287689,3800,198990,2764,384479,4479,380749,4742,501541,5062,645399,5325,414254,4270,393557,5056,135745,2714,126301,2125,49347,240,66620,281,13,2010
12,Hawaii,0400000US15,442267,1869,25412,1145,15974,909,33393,1161,35776,1301,53489,1430,83857,1933,66430,1704,75930,1808,28401,1036,23605,878,66420,603,83037,735,15,2010
13,Idaho,0400000US16,570283,2353,36883,1342,33962,1302,67759,1455,73505,1680,92852,1794,119813,1801,67517,1514,51504,1596,14368,732,12120,537,46423,367,59460,439,16,2010
14,Illinois,0400000US17,4769951,10573,327492,3711,230008,3304,483034,4618,463776,4071,644024,5260,896686,5395,630368,5245,642112,5650,229128,3115,223323,2582,55735,210,75140,264,17,2010
15,Indiana,0400000US18,2465402,8128,177048,3000,137772,2602,288334,3179,295623,3148,385219,4125,494822,4444,308558,3681,255021,3225,67893,1713,55112,1234,47697,197,61285,237,18,2010
16,Iowa,0400000US19,1215954,3695,76499,1728,71186,1615,140617,2013,139627,2334,192999,2219,252163,2554,157288,2254,124976,1958,32552,943,28047,892,48872,269,61833,327,19,2010
17,Kansas,0400000US20,1101672,3620,73221,1780,59842,1579,126282,2205,126234,1993,171148,2140,215898,2495,137693,2224,121141,1927,37867,1027,32346,961,49424,307,64994,347,20,2010
18,Kentucky,0400000US21,1676708,5778,175065,3031,124999,2555,221056,3301,199089,3218,251851,2984,298861,3642,182013,2993,149278,2290,39764,1125,34732,1097,41576,210,56009,279,21,2010
19,Louisiana,0400000US22,1641165,4814,165101,2656,117710,2204,211657,3118,186360,2833,234864,2940,281757,3367,181881,2932,167076,2792,50672,1547,44087,1257,43445,264,60003,305,22,2010
